CityID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
302,goulburn,0,AU,1532235194,70,-34.75,149.72,46.11,6.98
303,lishui,92,CN,1532235194,85,28.45,119.91,79.23,2.51
304,peruibe,92,BR,1532235195,100,-24.32,-47.0,67.53,12.57
305,ribeira grande,64,PT,1532235195,100,38.52,-28.7,72.21,16.49
306,monrovia,75,LR,1532233800,94,6.33,-10.8,75.2,6.31
307,fare,80,PF,1532235195,100,-16.7,-151.02,76.44,11.01
308,cidreira,0,BR,1532235195,90,-30.17,-50.22,39.99,1.28
309,college,1,US,1532231880,34,64.86,-147.8,80.6,3.36
310,maputo,20,MZ,1532232000,93,-25.97,32.57,57.2,2.24
311,petropavl,0,KZ,1532232000,54,54.87,69.13,59.0,15.66
312,alvaraes,12,BR,1532235032,96,-3.22,-64.8,73.83,5.08
313,nushki,0,PK,1532235196,19,29.55,66.02,98.76,4.63
314,belmonte,0,PT,1532235197,90,40.36,-7.35,56.46,5.53
315,anadyr,90,RU,1532232000,87,64.73,177.51,55.4,8.95
316,sangar,92,RU,1532235197,52,63.92,127.47,69.69,6.2
317,vysha,92,RU,1532235197,82,53.85,42.38,72.03,7.43
318,lagoa,0,PT,1532233800,68,37.14,-8.45,68.0,2.24
319,stroud,36,GB,1532233200,100,51.75,-2.22,64.4,5.82
320,margate,20,AU,1532232000,50,-43.03,147.26,55.4,4.7
321,yumbel,75,CL,1532232600,100,-37.1,-72.56,39.2,3.36
322,carnarvon,0,ZA,1532235199,72,-30.97,22.13,39.72,10.22
323,quelimane,48,MZ,1532235199,88,-17.88,36.89,64.47,5.19
324,dongobesh,68,TZ,1532235199,86,-4.07,35.37,54.21,5.41
325,dibulla,8,CO,1532235199,83,11.27,-73.31,81.66,16.71
326,itacoatiara,0,BR,1532235003,87,-3.14,-58.44,76.71,2.39
327,meulaboh,36,ID,1532235200,96,4.14,96.13,84.63,3.96
328,hobyo,0,SO,1532235200,72,5.35,48.53,78.6,19.95
329,petropavlovsk-kamchatskiy,90,RU,1532232000,93,53.05,158.65,60.8,8.95
330,bell ville,0,AR,1532235200,63,-32.63,-62.69,47.01,14.81
331,sur,0,OM,1532235200,86,22.57,59.53,88.59,3.06
332,cedar city,1,US,1532231580,68,37.68,-113.06,69.8,2.51
333,rassvet,0,MD,1532233800,88,47.2,28.43,69.8,5.64
334,mikkeli,75,FI,1532233200,94,61.69,27.27,68.0,2.24
335,elko,1,US,1532231760,32,40.83,-115.76,80.6,9.17
336,praya,40,ID,1532233800,58,-8.71,116.27,87.8,13.87
337,point pedro,24,LK,1532235202,78,9.82,80.23,88.14,20.62
338,owando,24,CG,1532235202,88,-0.49,15.91,71.67,2.06
339,agadir,0,MA,1532233800,82,30.42,-9.58,66.2,3.36
340,boddam,92,GB,1532233200,87,57.47,-1.78,59.0,3.36
341,byron bay,40,AU,1532232000,37,-28.65,153.62,68.0,10.29
342,cayenne,24,GF,1532233800,100,4.94,-52.33,73.4,5.75
343,chapais,75,CA,1532232000,68,49.78,-74.86,68.0,4.7
344,sibolga,44,ID,1532235203,66,1.74,98.78,83.55,2.73
345,acapulco,40,MX,1532231280,79,16.86,-99.88,86.0,4.7
346,havelock,40,US,1532231880,83,34.88,-76.9,80.6,13.87
347,kaspiyskiy,0,RU,1532235204,67,45.39,47.37,85.89,9.22
348,omsukchan,0,RU,1532235204,51,62.53,155.8,69.24,3.4
349,coracora,8,PE,1532235204,72,-15.02,-73.78,22.26,2.73
350,bhadra,68,IN,1532235204,100,29.1,75.17,82.56,7.2
351,laguna,92,MX,1532235204,68,27.52,-110.01,83.46,1.61
352,alofi,8,NU,1532232000,69,-19.06,-169.92,73.4,12.75
353,neiafu,40,TO,1532232000,65,-18.65,-173.98,77.0,6.93
354,tomigusuku,75,JP,1532232000,70,26.18,127.67,87.8,18.34
355,zhicheng,8,CN,1532235206,65,35.04,112.59,91.83,8.43
356,moose factory,1,CA,1532232000,76,51.26,-80.61,51.8,3.36
357,kiunga,80,PG,1532235206,80,-6.12,141.3,79.86,2.84
358,sabha,0,LY,1532235207,29,27.03,14.43,78.51,12.12
359,itabira,0,BR,1532235207,81,-19.62,-43.23,49.35,2.51
360,wilmington,90,US,1532234040,100,39.75,-75.55,73.4,23.04
361,altamont,1,CA,1532232900,100,49.4,-98.5,66.2,5.82
362,lajeado,0,BR,1532235207,85,-29.47,-51.96,35.31,2.17
363,birao,32,CF,1532235208,85,10.3,22.78,75.72,5.86
364,mahibadhoo,92,MV,1532235208,100,3.78,72.97,80.31,14.7
365,fort nelson,75,CA,1532232000,68,58.81,-122.69,64.4,10.29
366,macapa,40,BR,1532232000,100,0.05,-51.07,77.0,2.24
367,yamada,75,JP,1532232000,53,36.58,137.08,95.0,9.17
368,chernyshevskiy,92,RU,1532235209,87,63.01,112.47,44.85,6.42
369,shakawe,0,BW,1532235209,76,-18.36,21.84,47.01,6.98
370,dayong,100,PH,1532235209,100,11.74,122.04,78.6,22.08
371,san cristobal,75,EC,1532232000,81,-0.39,-78.55,53.6,14.99
372,zyryanka,48,RU,1532235210,48,65.73,150.89,61.59,3.51
373,montepuez,0,MZ,1532235210,70,-13.13,39.0,65.73,11.12
374,ishigaki,75,JP,1532232000,94,24.34,124.16,80.6,5.82
375,ewa beach,1,US,1532231820,54,21.32,-158.01,82.4,9.17
376,mao,40,DO,1532232000,88,19.55,-71.08,78.8,8.05
377,vila franca do campo,40,PT,1532233800,83,37.72,-25.43,69.8,8.05
378,itarema,24,BR,1532235211,82,-2.92,-39.92,78.6,13.47
379,plettenberg bay,0,ZA,1532235212,81,-34.05,23.37,67.44,15.48
380,broome,44,GB,1532233200,93,52.47,1.45,60.8,2.24
381,santa rosa,0,AR,1532235214,72,-36.62,-64.29,35.04,3.18
382,abu samrah,0,SY,1532235214,65,35.3,37.18,80.67,13.13
383,zambezi,0,ZM,1532235214,62,-13.55,23.12,53.49,14.81
